run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,revenue_per_employee
Prod223_3873,12414794,2024-01-31,html,,2024-01-31,12414794,PRESTIGE FUNERALS LTD,False,2.0,2024-01-31,2024-01-31,9181.0,,,17537.0,,,937.0,10118.0,10118.0,,,10118.0,,,,,,,,,,,,,,,,
Prod223_3873,12416434,2024-12-31,html,,2024-12-31,12416434,VENUE BARS 4 U LIMITED,False,0.0,2024-01-31,2024-01-31,,,100.0,,,,100.0,,100.0,,,100.0,,,,,,,,,,,,,,,,
Prod223_3873,12418134,2024-10-31,html,,2024-10-31,12418134,SAROZ CONSULTING LTD,False,1.0,2024-10-31,2024-10-31,,488.0,3349.0,3837.0,,,126.0,126.0,126.0,,,100.0,,,,,,,,,,,,,,,,
Prod223_3873,12418134,2024-10-31,html,,2024-10-31,12418134,SAROZ CONSULTING LTD,False,1.0,2023-10-31,2023-10-31,,,11663.0,11663.0,,,6542.0,6542.0,5197.0,,,100.0,,,,,,,,,,,,,,,,
Prod223_3873,12429316,2024-01-31,html,,2024-01-31,12429316,M DIXON INTERIORS LTD,False,1.0,2024-01-31,2024-01-31,6343.0,3950.0,60682.0,64782.0,25188.0,,39594.0,45937.0,44732.0,1.0,44731.0,1.0,,,,,,,,,,,,,,,,
Prod223_3873,12429316,2024-01-31,html,,2024-01-31,12429316,M DIXON INTERIORS LTD,False,1.0,2023-01-31,2023-01-31,4265.0,1500.0,46491.0,48091.0,25718.0,,22373.0,26638.0,25828.0,1.0,25827.0,1.0,,,,,,,,,,,,,,,,
Prod223_3873,12430426,2024-01-31,html,,2024-01-31,12430426,RAJA 1 MOTORS LTD,False,1.0,2024-01-31,2024-01-31,51251.0,,,2052.0,,,39712.0,11539.0,451.0,,,451.0,,,,,,,,,,,,,,,,
Prod223_3873,12430426,2024-01-31,html,,2024-01-31,12430426,RAJA 1 MOTORS LTD,False,1.0,2023-01-31,2023-01-31,56946.0,,,4804.0,,,41165.0,15781.0,807.0,,,807.0,,,,,,,,,,,,,,,,
Prod223_3873,12430945,2024-10-31,html,,2024-10-31,12430945,Nick Harris Cars Ltd,False,1.0,2023-10-31,2023-10-31,10030.0,,,25037.0,,,766.0,10796.0,,,,10796.0,,,,,,,,,,,,,,,,
Prod223_3873,12439034,2024-02-29,html,,2024-02-29,12439034,TIPPMEE LIMITED,False,,2024-02-29,2024-02-29,,,,4393.0,,,2726.0,2726.0,-21057.0,,,-21057.0,,,,,,,,,,,,,,,,
