shareholder_funds,net_assets_liabilities_including_pension_asset_liability,Cluster
2.0,6300.0,0
2.0,11787.0,0
2223.0,2223.0,0
1973.0,1973.0,0
446811.0,446811.0,0
542728.0,542728.0,0
1157.0,1157.0,0
1157.0,1157.0,0
-24659.0,-24659.0,0
-17632.0,-17632.0,0
100.0,1061146.0,0
100.0,2375191.0,0
39406.0,39406.0,0
96919.0,96919.0,0
526825.0,526825.0,0
552608.0,552608.0,0
99426.0,99426.0,0
251353.0,251353.0,0
910.0,910.0,0
99426.0,99426.0,0
202.0,523380.0,0
202.0,549746.0,0
200.0,151997.0,0
200.0,138995.0,0
2.0,2.0,0
2.0,2.0,0
40231.0,40231.0,0
33498.0,33498.0,0
40661.0,40661.0,0
40287.0,40287.0,0
10.0,609015.0,0
10.0,770455.0,0
5327.0,5327.0,0
2333.0,2333.0,0
240.0,790445.0,0
240.0,710435.0,0
284433.0,284433.0,0
237173.0,237173.0,0
4.0,4.0,0
4.0,4.0,0
2.0,-11058.0,0
2.0,-9414.0,0
17776.0,17776.0,0
23175.0,23175.0,0
2.0,263681.0,0
2.0,285465.0,0
133524.0,133524.0,0
121662.0,121662.0,0
100.0,154482.0,0
100.0,161848.0,0
1355934.0,1355934.0,0
1234456.0,1234456.0,0
4.0,4.0,0
4.0,4.0,0
1.0,1.0,0
1.0,1.0,0
100.0,638713.0,0
100.0,485902.0,0
3.0,3.0,0
3.0,3.0,0
-12940.0,-12940.0,0
-62645.0,-62645.0,0
1.0,5726.0,0
1.0,2916.0,0
2.0,696769.0,0
2.0,517427.0,0
6.0,288816.0,0
6.0,381208.0,0
45.0,165073.0,0
90.0,169616.0,0
48794.0,48794.0,0
48794.0,48794.0,0
327.0,327.0,0
6428.0,6428.0,0
4.0,4.0,0
4.0,4.0,0
3183.0,3183.0,0
3571.0,3571.0,0
1494429.0,1494429.0,0
1527578.0,1527578.0,0
512216.0,512216.0,0
520413.0,520413.0,0
1.0,141303.0,0
1.0,120552.0,0
100.0,79783.0,0
100.0,63331.0,0
100.0,516841.0,0
100.0,505168.0,0
100.0,1896300.0,0
100.0,1940342.0,0
20.0,37333.0,0
20.0,22864.0,0
20.0,52020.0,0
20.0,54091.0,0
1848997.0,1848997.0,0
1821323.0,1821323.0,0
0.0,0.0,0
0.0,0.0,0
921909.0,921909.0,0
896824.0,896824.0,0
26803.0,26803.0,0
27471.0,27471.0,0
100.0,100.0,0
100.0,100.0,0
8861.0,8861.0,0
-20444.0,-20444.0,0
100.0,1580099.0,0
100.0,1539481.0,0
8247.0,8247.0,0
5028.0,5028.0,0
39122.0,39122.0,0
51726.0,51726.0,0
1000.0,1000.0,0
1000.0,1000.0,0
60.0,15026758.0,0
60.0,13718431.0,0
4910.0,4910.0,0
13013.0,13013.0,0
150.0,1297190.0,0
150.0,1297546.0,0
4.0,12137356.0,0
4.0,12364263.0,0
1000.0,1000.0,0
1000.0,1000.0,0
1000.0,1000.0,0
1000.0,1000.0,0
1000.0,192501.0,0
1000.0,235845.0,0
64.0,327129.0,0
64.0,330361.0,0
2.0,14957.0,0
2.0,24098.0,0
100.0,395473.0,0
100.0,355874.0,0
10955.0,10955.0,0
10723.0,10723.0,0
-632709.0,-632709.0,0
-521551.0,-521551.0,0
10859.0,10859.0,0
5534.0,5534.0,0
-9146.0,-9146.0,0
999.0,999.0,0
200.0,1188285.0,0
200.0,709253.0,0
100.0,118418.0,0
100.0,133047.0,0
900.0,582862.0,0
900.0,627215.0,0
10000.0,780238.0,0
10000.0,791939.0,0
5416.0,5416.0,0
5416.0,5416.0,0
60.0,297979.0,0
60.0,309092.0,0
4.0,4.0,0
4.0,4.0,0
100.0,95219.0,0
100.0,37248.0,0
170995.0,170995.0,0
163998.0,163998.0,0
2.0,2.0,0
2.0,2.0,0
-2210.0,-2210.0,0
1196.0,1196.0,0
46540.0,-1626246.0,0
46540.0,-1613943.0,0
17939.0,17939.0,0
9331.0,9331.0,0
100.0,203899.0,0
100.0,216058.0,0
99.0,91123.0,0
98.0,72432.0,0
2.0,2.0,0
2.0,2.0,0
0.0,0.0,0
0.0,0.0,0
100.0,-16100.0,0
100.0,-10795.0,0
18213.0,18213.0,0
24441.0,24441.0,0
60287.0,60287.0,0
87410.0,87410.0,0
180.0,180.0,0
-261.0,-261.0,0
100.0,100.0,0
100.0,100.0,0
3933.0,3933.0,0
1727.0,1727.0,0
118685.0,118685.0,0
113241.0,113241.0,0
1000.0,72893.0,0
1000.0,122111.0,0
0.0,0.0,0
0.0,0.0,0
100.0,164768.0,0
100.0,179838.0,0
100.0,26968.0,0
100.0,16375.0,0
2.0,12824.0,0
2.0,6062.0,0
4.0,-29288.0,0
4.0,-16724.0,0
10.0,290613.0,0
10.0,290713.0,0
66275.0,66275.0,0
10254.0,10254.0,0
100.0,70160.0,0
100.0,80461.0,0
5545.0,5545.0,0
919.0,919.0,0
1.0,1.0,0
1.0,1.0,0
1.0,44228.0,0
1.0,41258.0,0
2.0,130792.0,0
2.0,126732.0,0
6.0,6.0,0
6.0,6.0,0
61000.0,252062.0,0
61000.0,283459.0,0
100.0,1466976.0,0
100.0,1448613.0,0
-2938.0,-2938.0,0
-2528.0,-2528.0,0
0.0,0.0,0
0.0,0.0,0
10.0,10.0,0
10.0,10.0,0
871.0,871.0,0
840.0,840.0,0
104.0,104.0,0
2452.0,2452.0,0
2.0,115254.0,0
2.0,162617.0,0
2.0,-37908.0,0
2.0,-38150.0,0
4345.0,4345.0,0
9574.0,9574.0,0
1417.0,1417.0,0
298.0,298.0,0
-4356.0,-4356.0,0
-10239.0,-10239.0,0
500.0,528381.0,0
500.0,551425.0,0
2.0,5471.0,0
2.0,11952.0,0
10935.0,10935.0,0
14745.0,14745.0,0
4100.0,96814.0,0
4100.0,97379.0,0
62377.0,62377.0,0
67956.0,67956.0,0
73625.0,73625.0,0
66335.0,66335.0,0
100.0,188833.0,0
100.0,189693.0,0
11581.0,11581.0,0
16171.0,16171.0,0
392279.0,392279.0,0
18233.0,18233.0,0
2.0,2.0,0
2.0,2.0,0
61968.0,61968.0,0
58338.0,58338.0,0
1.0,-859.0,0
1.0,127.0,0
100.0,235523.0,0
100.0,192436.0,0
102.0,103887.0,0
102.0,97677.0,0
88625.0,88625.0,0
81536.0,81536.0,0
6426.42,6426.42,0
19199.1,19199.1,0
20206.0,20206.0,0
23413.0,23413.0,0
1174.0,1174.0,0
2522.0,2522.0,0
2.0,34393.0,0
2.0,32322.0,0
302440.0,302440.0,0
357578.0,357578.0,0
200.0,770312.0,0
200.0,895389.0,0
150.0,1428.0,0
150.0,3685.0,0
80379.07,80379.07,0
106580.31,106580.31,0
590503.0,590503.0,0
611138.0,611138.0,0
33423.0,33423.0,0
38671.0,38671.0,0
2.0,15430.0,0
2.0,16044.0,0
27705.0,27705.0,0
33481.0,33481.0,0
2.0,56339.0,0
2.0,60196.0,0
100.0,603050.0,0
100.0,592575.0,0
328.0,328.0,0
328.0,328.0,0
7517.0,7517.0,0
2106.0,2106.0,0
112.0,112.0,0
187.0,187.0,0
116.0,663550.0,0
131.0,624099.0,0
2.0,-9124.0,0
2.0,-13314.0,0
1.0,379806.0,0
1.0,254965.0,0
2.0,2.0,0
2.0,2.0,0
-42433.0,-42433.0,0
-62401.0,-62401.0,0
795798.0,795798.0,0
796426.0,796426.0,0
75482.0,75482.0,0
115457.0,115457.0,0
120.0,347002.0,0
120.0,459980.0,0
2.0,660.0,0
2.0,12656.0,0
100.0,844916.0,0
100.0,775043.0,0
241956.0,241956.0,0
241989.0,241989.0,0
544996.0,544996.0,0
524637.0,524637.0,0
20800.0,237049.0,0
20800.0,224768.0,0
54611.0,54611.0,0
44694.0,44694.0,0
103.0,1584612.0,0
103.0,1283562.0,0
1.0,83903.0,0
1.0,84747.0,0
3.0,627790.0,0
3.0,614371.0,0
236788.0,236788.0,0
151163.0,151163.0,0
11436.0,11436.0,0
45695.0,45695.0,0
200.0,620105.0,0
200.0,656350.0,0
100.0,12779.0,0
100.0,18399.0,0
102.0,102.0,0
103.0,103.0,0
1489.0,1489.0,0
1505.0,1505.0,0
100.0,420385.0,0
100.0,418108.0,0
5020.0,5020.0,0
6870.0,6870.0,0
1.0,95602.0,0
1.0,360685.0,0
2.0,111239.0,0
2.0,-14420.0,0
110.0,582781.0,0
110.0,475384.0,0
1.0,1.0,0
1.0,1.0,0
308771.0,308771.0,0
4.0,4.0,0
4.0,0.0,0
3.0,3.0,0
3.0,3.0,0
100.0,16216.0,0
100.0,12961.0,0
7445.0,7445.0,0
441.0,441.0,0
1.0,1.0,0
1.0,1.0,0
2908.0,2908.0,0
9416.0,9416.0,0
1.0,1.0,0
1.0,1.0,0
-73886.0,-73886.0,0
-73886.0,-73886.0,0
1.0,1.0,0
1.0,1.0,0
72.0,72.0,0
72.0,72.0,0
100.0,101.0,0
100.0,101.0,0
2884.0,2884.0,0
97.0,97.0,0
-41132.0,-41132.0,0
-25921.0,-25921.0,0
1000.0,7187.0,0
1000.0,7038.0,0
-9960.0,-9960.0,0
-8734.0,-8734.0,0
1607.0,1607.0,0
8516.0,8516.0,0
2.0,3398209.0,0
2.0,3106478.0,0
1.0,328289.0,0
1.0,301995.0,0
100.0,8759.0,0
100.0,8991.0,0
10.0,-2156.0,0
10.0,-2285.0,0
102.0,-450.0,0
102.0,4800.0,0
22317.0,22317.0,0
18242.0,18242.0,0
100.0,549251.0,0
100.0,553255.0,0
2.0,2057631.0,0
2.0,2110526.0,0
93.0,1076.0,0
104.0,1076.0,0
1.0,193867.0,0
1.0,207894.0,0
150.0,23960.0,0
150.0,22173.0,0
100.0,107542.0,0
100.0,107221.0,0
0.0,0.0,0
0.0,0.0,0
100.0,18761.0,0
100.0,11907.0,0
-16302.0,-16302.0,0
211637.0,211637.0,0
105618.0,105618.0,0
110664.0,110664.0,0
9971.0,9971.0,0
4854.0,4854.0,0
220.0,451423.0,0
220.0,1902720.0,0
81.0,81.0,0
81.0,81.0,0
10.0,41875.0,0
10.0,49191.0,0
